id,HIN
0,आ ध ि
1,आ क श
2,आ प
3,आ य श ा ह
4,आ ई
5,अ ब ् द ु ह
6,अ ब र ा र ् थ
7,अ ब ी
8,अ ब ू
9,ए ब ् र ि
10,ए क ा ड े म ि य
11,ए क ो म ् ब े ट ा उ न
12,अ क ॉ र ् न
13,आ द म ् स
14,अ द ् ग ा ं व
15,ए ड ल ् ब स
16,अ ग र ो
17,आ ह ् ल ा द
18,आ य र
19,ऐ स ि न
20,अ ज ी
21,अ ज ह ी
22,अ ज ी थ
23,अ क र म
24,ए क ल े
25,अ ख र ी
26,अ क ो ड ि य ा
27,अ क ौ र द ी
28,अ ल स
29,अ ल ् ब न ि
30,ए ल े स ् ट र
31,ए ल े क ् स
32,अ ल ी प ु र
33,अ ल क ा ल ी
34,अ ल ् प े श
35,अ म ा न त
36,अ म े र ि क न
37,अ म ो द ि न ी
38,अ ं ध ा
39,ए ं ज े ल
40,अ न न
41,ए न ी
42,ए ं ट ी ब ो ड ि य
43,औ न
44,अ प न े
45,अ र ा फ ा त
46,ए र ि स
47,अ र ् क
48,अ र म ा न
49,आ र ् म स
50,ए र ् न ट ो ट
51,अ र ् स ि क े र
52,र ् ट
53,आ र ् ट र ् श न
54,अ श ो क ा
55,अ श र ा म
56,ए स ् प े र े न
57,ए स ् ल ी
58,अ थ ी
59,त ि
60,ऑ क ल ै ं ड
61,औ द े न
62,औ ल ि य ा
63,ऑ स ् ट ् र ो
64,ए व े ल ि न
65,ए व र ् ड ् ‍ स
66,अ व र ा
67,आ य ब क
68,ए य े ं ग ी
69,ब ा ग ु ल
70,ब ा न
71,ब त
72,ब द ा
73,ब द म ा श
74,ब े ड र
75,ब ा ध ू
76,ब द ् म श न
77,ब ग द ा द ी
78,ब ह ा र ् व ल ी
79,ब ल म ा न ी
80,ब ै ल ् ड ् र ि ज
81,ब ल ख म ् म
82,ब ल व ं त
83,ब म र ि
84,ब ं द र त ि ल ी क
85,ब ै ं ड ो प ै ड ी
86,ब ं श ल ी
87,ब ै र ि
88,ब र ा इ ग ् र ा म
89,ब र ् न ी
90,ब र स ो ह
91,ब स र े
92,ब त ि
93,ब ट ु
94,ब ा य ि द ् ज़
95,ब ा ज़ र
96,ब ी क न ् न
97,ब ी न
98,ब ी थ व े न
99,ब े ग म
100,ब े ग म
101,ब े ह र म
102,ब े म ् ब ् र े ज
103,ब े ं ग ल
104,ब े न ि ट ो
105,ब े न स ॉ न व े ल
106,ब े र े ं ड े च ् ट ् र ो ज ़
107,ब े त ा
108,ब े ट े
109,ब ी य
110,भ ा स
111,भ ा ब ि
112,भ क ् त
113,भ ा ं ज न
114,भ र ो स े
115,भ ा र च ू
116,भ ट न ग र
117,भ ौ ज ा ई
118,भ े ड
119,भ ू ल
120,भ ु व न स ् व े र ी
121,ब ि भ ो र
122,ब ि ज न ी
123,ब ि ख र े
124,ब ि क ् र म
125,ब ि ल ् ह ा र
126,ब ि ल
127,ब ि ल ् स न
128,ब ा य क ॉ म े म
129,ब ि र ज
130,ब ि स ल व स
131,ब ् ल ै क व े ल
132,ब ् ल ि क ् स
133,ब ् ल ि ग न ा ट
134,ब ् ल ि ं ड
135,ब ॉ च र
136,ब ॉ ड ी
137,ब ो ए ट ा
138,ब ो ज े
139,ब ू
140,ब ू क
141,ब ॉ र ् ड र
142,ब ॉ श
143,ब ॉ ल ् स
144,ब ् र े स व े ल
145,ब ् र ह म ा न
146,ब ् र ह ् म ण ् य
147,ब ् र ी स
148,ब ् र े ट न
149,ब ् र े व र ी
150,ब ् र ि ं ट
151,ब ् र ो म ो
152,ब ् र ू क
153,ब ् र ो स
154,ब ् र ो थ र ् स
155,ब ् र ू न व ल
156,ब ् र ू न ल
157,ब ु क ल ं द
158,ब ल ् फ ि न
159,ब ् य ू र े य
160,ब ु र म ा ह
161,ब ु श
162,ब ् य ू
163,ब ा य र ॉ न
164,क ै ल ् ग ा र ी
165,क ै ं प ल
166,क न द ा स
167,क ै प न
168,क ै र ि ं ग
169,क ै र ी
170,क ॉ ल ी फ े ल ् ड
171,च ड र
172,च क र ध र ी
173,च म ् प ल े न
174,च ं ग े ज ़ ा
175,च ं क न ा ब
176,च ै प ल
177,च र ि थ
178,च ा र ् ट े स
179,च ा र ट ् र े ज
180,च ै स ि स
181,च ै ट फ ि ल ् ड
182,च त ् त र ज ी
183,च ट ् ट र ज ी
184,च ौ द ् र ु य
185,च ै ल ी ज
186,च ी र
187,च े म ि क ल
188,च े न ् क ा स े व ा ज ़ ा
189,ख ु ह ा
190,च ि ल ् ब ि ल ा
191,च ि प े व ि य ा न
192,च ि र ् स ् ट ी न
193,च ो इ स
194,च ो ल ् व र म ा द
195,च ो र ो न
196,च ो र व ड ़ ा द
197,क ् र ो न ि क ल
198,च र ् च ि ल
199,च ् य ू ल ु
200,स ि ड े ड े स
201,स ि म ा त ि र ा य
202,स ि ट े ड ल
203,क ो ट
204,क ो क ा
205,क ो फ ी
206,क ो ल ा
207,क ो ल र
208,क म ा ं ड न े
209,क म ् प ट र ् स
210,क ा ँ ड े क ो र े श ि न
211,क ं ड ो ल ि ज ा
212,क ॉ न ् स ल ा इ ड े ड
213,क ु ल ा ग
214,क ॉ प क ॉ न
215,क ो र ा ज न
216,क ो स ि र
217,क ौ ं ट
218,क ् र े फ
219,क ् र ॉ न ी ज
220,क ् र ू क ह ॉ र ् न
221,क ् र ो स ि ं ग
222,क ् र ॉ न
223,क ल ् ट र
224,क र ् ट ल ी
225,स ि ब र
226,द ा ल
227,द भ ी ह
228,ड ब ि ल ी
229,ड े ग ु आ
230,ड ग ढ ़ ल
231,द ा ह द े
232,द ह श
233,द ै
234,ड े ल ् र ि म ् प ल
235,द म ् द म ा
236,ड े न ी
237,द प े ं ग
238,ड े र ि ल
239,द ौ र
240,ड े व ि ड
241,ड े व ि स
242,द य
243,ड ी ड
244,ड े स ् ब े म र
245,द ी व न े
246,ड ै र ् ड र
247,ड े क
248,द े ख
249,ड े न ा
250,ड े ं ज ़ ल
251,ड े प ो ट
252,ड े र ि क
253,ड े स
254,ड े स ो ट ो
255,द े व द स
256,ध ा ह ि र
257,ध ल ि ब ा ल ी
258,ध ा र ी
259,ढ ो ब ा र ी
